"","index","starts_x","starts_y","index_start","ends_x","ends_y","index_end"
"1",1,400542.831681705,4735120.25172746,1,368930.287785204,4711887.15869783,138
"2",2,400542.831681705,4735120.25172746,1,369130.577019321,4710907.16316871,137
"3",3,400542.831681705,4735120.25172746,1,369330.866253437,4709927.1676396,136
"4",4,400542.831681705,4735120.25172746,1,369367.466271742,4712662.99613934,139
"5",5,400542.831681705,4735120.25172746,1,369531.155487554,4708947.17211048,135
"6",6,400542.831681705,4735120.25172746,1,369731.44472167,4707967.17658136,134
"7",7,400542.831681705,4735120.25172746,1,369931.733955787,4706987.18105225,133
"8",8,400542.831681705,4735120.25172746,1,369950.95875048,4713454.23086039,140
"9",9,400542.831681705,4735120.25172746,1,370132.023189903,4706007.18552313,132
"10",10,400542.831681705,4735120.25172746,1,370332.31242402,4705027.18999401,131
"11",11,400542.831681705,4735120.25172746,1,370529.622899058,4714268.03220298,141
"12",12,400542.831681705,4735120.25172746,1,370532.601658136,4704047.1944649,130
"13",13,400542.831681705,4735120.25172746,1,370732.890892253,4703067.19893578,129
"14",14,400542.831681705,4735120.25172746,1,370933.180126369,4702087.20340666,128
"15",15,400542.831681705,4735120.25172746,1,371133.469360486,4701107.20787754,127
"16",16,400542.831681705,4735120.25172746,1,371221.276730256,4714949.29200092,142
"17",17,400542.831681705,4735120.25172746,1,371333.758594602,4700127.21234843,126
"18",18,400542.831681705,4735120.25172746,1,371534.047828719,4699147.21681931,125
"19",19,400542.831681705,4735120.25172746,1,371734.337062835,4698167.22129019,124
"20",20,400542.831681705,4735120.25172746,1,371934.626296952,4697187.22576108,123
"21",21,400542.831681705,4735120.25172746,1,372134.915531068,4696207.23023196,122
"22",22,400542.831681705,4735120.25172746,1,372143.625363278,4715336.30623005,143
"23",23,400542.831681705,4735120.25172746,1,372335.204765185,4695227.23470284,121
"24",24,400542.831681705,4735120.25172746,1,372535.493999301,4694247.23917373,120
"25",25,400542.831681705,4735120.25172746,1,372735.783233418,4693267.24364461,119
"26",26,400542.831681705,4735120.25172746,1,372936.072467534,4692287.24811549,118
"27",27,400542.831681705,4735120.25172746,1,372994.111214269,4715856.40822564,144
"28",28,400542.831681705,4735120.25172746,1,373136.361701651,4691307.25258638,117
"29",29,400542.831681705,4735120.25172746,1,373336.650935767,4690327.25705726,116
"30",30,400542.831681705,4735120.25172746,1,373536.940169884,4689347.26152814,115
"31",31,400542.831681705,4735120.25172746,1,373737.229404,4688367.26599903,114
"32",32,400542.831681705,4735120.25172746,1,373820.180047789,4716420.37711663,145
"33",33,400542.831681705,4735120.25172746,1,373937.518638117,4687387.27046991,113
"34",34,400542.831681705,4735120.25172746,1,374137.807872233,4686407.27494079,112
"35",35,400542.831681705,4735120.25172746,1,374338.09710635,4685427.27941168,111
"36",36,400542.831681705,4735120.25172746,1,374538.386340466,4684447.28388256,110
"37",37,400542.831681705,4735120.25172746,1,374634.429329938,4716999.23724239,146
"38",38,400542.831681705,4735120.25172746,1,374738.675574583,4683467.28835344,109
"39",39,400542.831681705,4735120.25172746,1,374938.964808699,4682487.29282433,108
"40",40,400542.831681705,4735120.25172746,1,375139.254042816,4681507.29729521,107
"41",41,400542.831681705,4735120.25172746,1,375277.564558586,4717765.32084883,147
"42",42,400542.831681705,4735120.25172746,1,375339.543276932,4680527.30176609,106
"43",43,400542.831681705,4735120.25172746,1,375539.832511049,4679547.30623698,105
"44",44,400542.831681705,4735120.25172746,1,375740.121745165,4678567.31070786,104
"45",45,400542.831681705,4735120.25172746,1,375851.256593983,4718578.17507649,148
"46",46,400542.831681705,4735120.25172746,1,375940.410979282,4677587.31517874,103
"47",47,400542.831681705,4735120.25172746,1,376140.700213398,4676607.31964963,102
"48",48,400542.831681705,4735120.25172746,1,376319.248313749,4719462.19473952,149
"49",49,400542.831681705,4735120.25172746,1,376340.989447515,4675627.32412051,101
"50",50,400542.831681705,4735120.25172746,1,376541.278681631,4674647.32859139,100
"51",51,400542.831681705,4735120.25172746,1,376681.536735901,4720389.4935797,150
"52",52,400542.831681705,4735120.25172746,1,376741.567915748,4673667.33306228,99
"53",53,400542.831681705,4735120.25172746,1,376916.911942848,4721355.86076852,151
